step,time
358,8.244e-6
359,8.339e-6
360,8.244e-6
361,8.244e-6
362,8.244e-6
363,8.244e-6
364,8.244e-6
365,8.243e-6
366,8.243e-6
367,8.244e-6
368,8.244e-6
369,8.243e-6
370,8.244e-6
371,8.244e-6
372,8.339e-6
373,8.149e-6
374,8.244e-6
375,8.339e-6
376,8.244e-6
377,8.243e-6
378,8.244e-6
379,8.149e-6
380,8.149e-6
381,8.244e-6
382,8.149e-6
383,8.244e-6
384,8.244e-6
385,8.339e-6
386,8.149e-6
387,8.244e-6
388,8.243e-6
389,8.244e-6
390,8.244e-6
391,8.244e-6
392,8.243e-6
393,8.244e-6
394,8.243e-6
395,8.244e-6
396,8.433e-6
397,8.433e-6
398,8.338e-6
399,8.243e-6
400,8.528e-6
401,8.244e-6
402,8.339e-6
403,8.339e-6
404,8.339e-6
405,8.339e-6
406,8.244e-6
407,8.339e-6
408,8.339e-6
409,8.244e-6
410,8.339e-6
411,8.244e-6
412,8.244e-6
413,8.244e-6
414,8.244e-6
415,8.339e-6
416,8.338e-6
417,8.338e-6
418,8.434e-6
419,8.433e-6
420,8.244e-6
421,8.433e-6
422,8.244e-6
423,8.528e-6
424,8.244e-6
425,8.244e-6
426,8.433e-6
427,8.149e-6
428,8.243e-6
429,8.244e-6
430,8.244e-6
431,8.243e-6
432,8.244e-6
433,8.339e-6
434,8.244e-6
435,8.528e-6
436,8.244e-6
437,8.338e-6
438,8.244e-6
439,8.244e-6
440,8.434e-6
441,8.149e-6
442,8.243e-6
443,8.243e-6
444,8.244e-6
445,8.339e-6
446,8.339e-6
447,1.8762e-5
448,8.623e-6
449,8.338e-6
450,8.244e-6
451,8.244e-6
452,8.339e-6
453,8.244e-6
454,8.244e-6
455,8.244e-6
456,8.338e-6
457,8.244e-6
458,8.244e-6
459,8.244e-6
460,8.244e-6
461,8.244e-6
462,8.243e-6
463,8.244e-6
464,8.244e-6
465,8.243e-6
466,8.243e-6
467,8.338e-6
468,8.244e-6
469,8.244e-6
470,8.244e-6
471,8.338e-6
472,8.243e-6
473,8.149e-6
474,8.339e-6
475,8.244e-6
476,8.244e-6
477,8.338e-6
478,8.243e-6
