step,time
1,2.504393241
2,2.5248e-5
3,2.2033e-5
4,1.9195e-5
5,3.2434e-5
6,3.4514e-5
7,2.0047e-5
8,1.7493e-5
9,3.3191e-5
10,2.8179e-5
11,1.598e-5
12,1.5413e-5
13,2.6571e-5
14,1.2671e-5
15,1.2955e-5
16,1.1347e-5
17,1.0779e-5
18,1.0875e-5
19,1.0686e-5
20,1.0401e-5
21,1.0591e-5
22,1.0023e-5
23,9.645e-6
24,1.1347e-5
25,1.1063e-5
26,1.3333e-5
27,1.182e-5
28,1.1158e-5
29,1.1252e-5
30,1.0591e-5
31,1.1158e-5
32,1.1158e-5
33,9.55e-6
34,1.0117e-5
35,9.267e-6
36,9.078e-6
37,7.754e-6
38,6.147e-6
39,5.201e-6
40,5.201e-6
41,5.201e-6
42,4.633e-6
43,4.16e-6
44,4.634e-6
45,3.782e-6
46,3.688e-6
47,3.783e-6
48,3.688e-6
49,3.499e-6
50,3.215e-6
51,3.499e-6
52,3.783e-6
53,3.31e-6
54,3.404e-6
55,3.498e-6
56,3.687e-6
57,3.215e-6
58,2.553e-6
59,2.458e-6
60,2.553e-6
61,2.459e-6
62,2.553e-6
63,2.648e-6
64,2.837e-6
65,2.458e-6
66,3.31e-6
67,2.459e-6
68,2.458e-6
69,2.459e-6
70,2.648e-6
71,2.459e-6
72,2.648e-6
73,2.174e-6
74,2.08e-6
75,2.175e-6
76,2.364e-6
77,2.363e-6
78,2.08e-6
79,2.269e-6
80,2.364e-6
81,2.458e-6
82,2.459e-6
83,2.174e-6
84,2.458e-6
85,2.364e-6
86,2.458e-6
87,2.553e-6
88,2.648e-6
89,2.553e-6
90,2.27e-6
91,2.458e-6
92,2.742e-6
93,2.837e-6
94,2.931e-6
95,4.539e-6
96,3.026e-6
97,3.12e-6
98,3.309e-6
99,3.31e-6
100,3.404e-6
101,3.782e-6
102,3.594e-6
103,3.971e-6
104,3.877e-6
105,4.066e-6
106,4.35e-6
107,4.445e-6
108,4.444e-6
109,4.255e-6
110,4.444e-6
111,4.634e-6
112,5.673e-6
113,4.917e-6
114,4.822e-6
115,4.918e-6
116,4.917e-6
117,5.011e-6
118,5.106e-6
119,5.768e-6
120,5.957e-6
121,5.769e-6
122,5.862e-6
123,5.862e-6
124,5.579e-6
125,5.674e-6
126,5.768e-6
127,5.579e-6
128,5.484e-6
129,5.674e-6
130,6.051e-6
131,6.997e-6
132,6.052e-6
133,6.241e-6
