step,time
1,2.042295044
2,0.000136389
3,0.000112488
4,9.3518e-5
5,7.9481e-5
6,6.7721e-5
7,6.2315e-5
8,7.7869e-5
9,9.1242e-5
10,6.5634e-5
11,6.7151e-5
12,7.2274e-5
13,7.5877e-5
14,8.0524e-5
15,8.6879e-5
16,9.0104e-5
17,9.4847e-5
18,9.4847e-5
19,9.589e-5
20,0.000110875
21,9.8735e-5
22,0.000101296
23,0.000100727
24,0.000101391
25,0.000100537
26,9.4941e-5
27,9.1432e-5
28,8.8871e-5
29,8.5172e-5
30,9.2855e-5
31,7.9576e-5
32,6.9048e-5
33,6.4021e-5
34,6.0606e-5
35,5.7856e-5
36,5.5106e-5
37,5.1692e-5
38,4.9131e-5
39,4.5337e-5
40,4.4009e-5
41,3.8793e-5
42,3.8603e-5
43,3.5757e-5
44,3.4334e-5
45,3.0635e-5
46,2.8359e-5
47,2.6746e-5
48,2.798e-5
49,2.5419e-5
50,2.4281e-5
51,3.5757e-5
52,2.134e-5
53,1.7168e-5
54,1.5365e-5
55,1.5081e-5
56,1.565e-5
57,1.2615e-5
58,1.1666e-5
59,1.2615e-5
60,1.1666e-5
61,1.2425e-5
62,1.1571e-5
63,1.1097e-5
64,2.153e-5
65,9.959e-6
66,8.252e-6
67,7.968e-6
68,8.062e-6
69,7.492e-6
70,8.726e-6
71,7.778e-6
72,7.967e-6
73,7.303e-6
74,6.924e-6
75,5.501e-6
76,5.312e-6
77,5.312e-6
78,5.691e-6
79,5.406e-6
80,5.026e-6
81,5.122e-6
82,5.501e-6
83,4.932e-6
84,3.699e-6
85,3.888e-6
86,3.889e-6
87,4.174e-6
88,4.079e-6
89,3.889e-6
90,3.509e-6
91,3.509e-6
92,3.319e-6
93,3.414e-6
94,3.415e-6
95,3.035e-6
96,3.035e-6
97,3.225e-6
98,3.225e-6
99,2.94e-6
100,2.94e-6
101,2.845e-6
102,2.75e-6
103,2.845e-6
104,2.75e-6
105,2.845e-6
106,2.94e-6
107,2.75e-6
108,2.656e-6
109,2.751e-6
110,2.655e-6
111,2.656e-6
112,2.655e-6
113,2.656e-6
114,2.656e-6
115,2.655e-6
116,2.656e-6
117,2.656e-6
118,2.656e-6
119,2.656e-6
120,2.655e-6
121,2.656e-6
122,2.656e-6
123,2.75e-6
124,2.751e-6
125,2.656e-6
126,2.655e-6
127,2.656e-6
128,2.656e-6
129,2.656e-6
130,2.655e-6
131,2.656e-6
