timestamp,cpu_percent,mem_mb
1765386609,117.07,189.2
1765386611,104.11,261
1765386613,105.61,333
1765386615,104.05,344.9
1765386617,105.84,361.3
1765386619,104.96,378.8
1765386621,104.19,405.5
